"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Exclude from Simulation","Exclude from Position Files","Footprint","Datasheet"
"C1","1","4700uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D18.0mm_P7.50mm",""
"C2,C3,C4","3","10uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C5","1","0.33uF","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:CP_Radial_D10.0mm_P2.50mm",""
"C6","1","0.1uf","","","","","${EXCLUDE_FROM_POS_FILES}","Capacitor_THT:C_Disc_D3.0mm_W1.6mm_P2.50mm",""
"D1,D2,D3,D4,D5,D6,D13","7","1N4007","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","http://www.vishay.com/docs/88503/1n4001.pdf"
"D7,D8,D10,D12","4","LED","","","","","${EXCLUDE_FROM_POS_FILES}","LED_THT:LED_D3.0mm",""
"D9,D11","2","1N47xxA","","","","","${EXCLUDE_FROM_POS_FILES}","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","https://www.vishay.com/docs/85816/1n4728a.pdf"
"J1,J2","2","Terminal","","","","","${EXCLUDE_FROM_POS_FILES}","TerminalBlock:TerminalBlock_MaiXu_MX126-5.0-02P_1x02_P5.00mm",""
"K2","1","JQC-3FF-018-1Z","","","","","${EXCLUDE_FROM_POS_FILES}","Relay_THT:Relay_SPDT_Hongfa_JQC-3FF_0XX-1Z","https://www.digikey.com/htmldatasheets/production/2071105/0/0/1/JQC-3FF.pdf"
"Q1","1","BD136","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf"
"Q2","1","BD135","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-126-3_Vertical","http://www.st.com/internet/com/TECHNICAL_RESOURCES/TECHNICAL_LITERATURE/DATASHEET/CD00001225.pdf"
"Q3,Q4","2","2N2219","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-39-3","http://www.onsemi.com/pub_link/Collateral/2N2219-D.PDF"
"Q5","1","BC557","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-92_Inline","https://www.onsemi.com/pub/Collateral/BC556BTA-D.pdf"
"R1,R6,R8,R12,R16","5","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R2","1","220","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R3,R4,R5,R7","4","1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R9,R13","2","3.3k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R10,R14","2","5.1k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R11,R15","2","4.7k","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"R17","1","R","","","","","${EXCLUDE_FROM_POS_FILES}","Resistor_THT:R_Axial_DIN0309_L9.0mm_D3.2mm_P12.70mm_Horizontal",""
"RV1","1","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Alps_RK163_Single_Horizontal",""
"RV2","1","50k","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3386F_Vertical",""
"RV3","1","10k","","","","","${EXCLUDE_FROM_POS_FILES}","Potentiometer_THT:Potentiometer_Bourns_3386F_Vertical",""
"U1","1","LM317_TO-220","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.ti.com/lit/ds/symlink/lm317.pdf"
"U2","1","L7812","","","","","${EXCLUDE_FROM_POS_FILES}","Package_TO_SOT_THT:TO-220-3_Vertical","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U3","1","LM393","","","","","${EXCLUDE_FROM_POS_FILES}","Package_DIP:DIP-8_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/lm393.pdf"
